safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
untruthful	ที่พูดโกหก
lacrimal	เกี่ยวกับต่อมน้ำตา
mineralogical	เกี่ยวกับการศึกษาแร่
towage	การพ่วงหรือลาก
encounter	เผชิญหน้า
larynx	กล่องเสียง
mummify	ทำให้ศพแห้งและไม่เน่า
unbleached cotton thread	ด้ายดิบ
panther	เสือดำ
dysgenic	เกี่ยวกับความผิดปกติในการถ่ายทอดพันธุกรรม
endocrinology	วิชาแพทย์สาขาหนึ่งที่ศึกษาเกี่ยวกับความผิดปกติของต่อมไร้ท่อ
count1	รวมเข้าไปด้วย
probity	ความซื่อตรง
make a practice / business of	ทำ (บางสิ่ง) เป็นประจำ
BBC	คำย่อของ British Broadcasting Corporation
medulla	สมองส่วนใน (medulla oblongata)
wildwood	ป่าธรรมชาติ
spunk up	ร่าเริง
trawl	จับปลาโดยใช้อวนลาก
hew out	ฟัน (มักใช้กับขวาน)
grand prix	รางวัลสูงสุด (ภาษาฝรั่งเศส)
top cat	คนที่มีอิทธิพล
wail for	ร้องไห้คร่ำครวญ (เสียงดังโหยหวน)
velocity	อัตราความเร็ว
engage to	หมั้นหมายกับ
lease out	อนุญาตให้เช่า
guerilla	แบบกองโจร
accountancy	การบัญชี
pyramid	ทำเป็นรูปทรงพีระมิด
basso	นักร้องเสียงเบส
stamp as	ทำให้ตระหนักว่าเป็น
Negritic	เกี่ยวกับคนดำ
shaken	กริยาช่องที่ 3 ของ shake
palate	ความรู้สึกในการรับรส
swim before	ปรากฏชัดเจน
coffee break	ช่วงพักสั้นๆ ระหว่างเวลางาน
freehold	อสังหาริมทรัพย์ที่ผู้ครอบครองมีสิทธิที่จะทำอย่างไรก็ได้กับอสังหาริมทรัพย์นั้น
deputation	การแต่งตั้งให้เป็นตัวแทน
(as) sick as a dog	ป่วยมาก
con into	พูดให้หลงกล
up and about	แข็งแรงพอลุกจากเตียงคนป่วยได้
coiffeur	ช่างแต่งผมที่เป็นผู้ชาย
mushily	อย่างแสดงความรู้สึกมากไป
salamander	สัตว์ครึ่งบกครึ่งน้ำ
hair	เส้นผม
drink deep of	ดื่มด่ำกับ
assiduous	ที่ทำด้วยความตั้งใจ
farrago	สิ่งที่ผสมปนเป
entangle with	พันกันยุ่ง (ปกติใช้รูป passive voice)
lead a woman to the altar	แต่งงานกับผู้หญิง (คำเก่า)
relationship	ความสัมพันธ์ฉันท์ชู้สาว
linger over	เสียเวลาอยู่กับ (อย่างมาก)
When the cat's away the mice will play.	แมวไม่อยู่หนูร่าเริง
contemporaneous	ซึ่งเกิดขึ้นในสมัยเดียวกัน
build upon1	ปลูกสร้างเพิ่ม
